Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;894.780762;490.411041;61.142433;759.952576;453.76767;31.678919;960.799561;682.475281;263.101044;842.983765;415.771118;31.611973;1007.102356;728.673035;444.628937
2;894.762085;490.378082;61.180359;759.910522;453.652527;31.612913;960.439087;682.699402;262.998444;842.981445;415.769165;31.545185;1007.191467;728.570068;444.570007
3;894.7146;490.282898;61.172005;759.976868;453.638733;31.719753;960.368835;682.756836;263.017517;843.025879;415.791626;31.600567;1006.76593;728.642883;444.937653
4;894.680969;490.240692;61.203693;759.914673;453.646545;31.642502;960.388794;682.921326;262.943329;842.985046;415.784271;31.633757;1007.162354;728.288635;444.556519
5;894.664673;490.105988;61.298965;759.905579;453.653229;31.608309;960.353638;683.072632;262.892365;842.941223;415.79483;31.605902;1007.52948;728.028809;444.328491
6;894.596069;490.106537;61.296127;759.875854;453.591156;31.336761;960.344421;683.178955;262.758789;842.938721;415.803284;31.592899;1007.561829;727.949402;444.114105
7;894.537659;490.131348;61.379108;759.903015;453.542816;31.514315;960.41864;683.48761;262.640472;842.909668;415.702271;31.614027;1007.519836;727.755676;444.066254
8;894.518616;490.026947;61.523148;759.835938;453.456696;31.470514;960.367554;683.809753;262.451416;842.899658;415.667633;31.6334;1007.49054;727.550659;444.076202
9;894.456177;489.958893;61.64381;759.867188;453.517975;31.655672;960.369995;684.09137;262.319824;842.930725;415.65329;31.670649;1007.419373;727.400085;444.022369
10;894.36261;489.974945;61.977451;759.801819;453.435944;31.697624;960.235779;684.743652;262.129364;842.906433;415.730988;31.797363;1007.497498;727.208191;443.92981
11;894.279968;489.798737;62.492531;759.81543;453.4086;31.720442;960.199036;685.473145;261.933868;842.853333;415.590912;31.708572;1007.525208;727.094177;443.745941
12;893.97876;489.65976;63.287766;759.829224;453.303497;31.80488;960.368713;686.338196;261.703247;842.775513;415.522522;31.7138;1007.417358;726.956787;443.630463
13;893.692444;489.460907;63.914585;759.643066;453.197937;31.787918;960.631226;687.27002;261.492767;842.719482;415.412354;31.737453;1007.398193;726.822021;443.484955
14;893.581055;489.498138;64.694405;759.520264;453.105957;31.846407;961.332397;688.021545;261.139008;842.610168;415.304932;31.850809;1007.342529;726.856323;443.259796
