Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;796.012878;688.428162;36.758938;818.667908;788.05896;92.651588;824.358521;1071.277832;339.768494;789.586304;995.58606;218.556915;825.782837;698.276367;39.950535
2;796.246277;688.576355;37.607006;818.463745;788.442322;92.851227;824.47522;1071.397949;339.819489;789.68573;995.82782;218.777298;825.75708;698.026062;40.665276
3;796.340454;688.479553;38.339794;818.499451;788.716003;93.1651;824.669739;1071.461914;340.036896;789.65802;996.148254;218.912033;825.36731;698.089844;41.358963
4;796.373474;688.458862;39.104801;818.489258;788.943115;93.575333;824.851624;1071.727051;340.210632;789.614563;996.453247;218.965317;824.413574;699.621521;41.473858
5;796.655945;688.387634;40.165943;818.564819;789.231689;94.417519;824.773804;1071.944336;340.461975;789.754395;996.697754;219.370743;823.942322;700.536316;42.187241
6;796.366516;688.408081;41.938625;818.690979;789.450745;95.299202;824.888245;1072.38855;340.628174;789.818054;996.996948;219.634964;824.834473;699.640808;44.068699
7;796.145386;688.64032;43.252697;818.63092;789.688232;96.217407;825.126587;1072.874023;340.766418;789.809265;997.639893;219.76413;824.639404;699.72821;45.176575
8;796.073059;688.667236;44.322563;818.475037;790.018372;97.235252;825.427795;1073.322266;340.880737;789.928833;998.234253;220.052429;824.601807;699.167297;47.061424
9;795.975525;688.502869;46.064064;818.475037;790.382507;98.590569;825.620422;1073.698242;341.079346;790.073547;999.084778;220.346359;824.127686;700.07196;48.234577
10;795.981506;688.510193;48.282639;818.316895;790.663147;99.825531;825.832703;1074.048584;341.476501;790.164978;999.843506;220.581833;823.662537;700.739502;49.504429
11;795.850098;688.567688;49.741615;818.279968;790.682556;101.483368;826.103699;1074.889526;341.979126;790.376892;1000.728638;221.004669;823.429443;700.514893;51.640743
12;795.686279;689.054626;52.128551;817.949219;791.22052;102.973816;826.556396;1075.705688;342.459412;790.323486;1001.810364;221.55809;823.715515;701.039246;53.542908
13;795.80365;689.331726;54.25349;818.028076;791.830688;104.602913;827.079468;1076.602905;342.961182;790.11908;1003.109558;222.077728;823.294006;701.449951;56.124725
14;795.685913;689.812012;56.554554;817.783997;792.777893;106.496971;827.418518;1077.450684;343.301239;790.046936;1004.225037;222.435059;824.040894;701.249573;59.226707
15;795.346619;690.236816;59.004784;817.529358;793.407227;108.597809;827.406494;1078.491333;343.622162;790.047546;1005.716431;222.752075;824.536438;701.183777;62.17931
16;795.248169;690.663269;61.587822;817.193726;794.137634;110.732185;827.507507;1079.751221;344.002594;789.625854;1007.119873;223.4133;825.201355;700.312378;65.792305
17;794.813782;691.298889;64.774452;816.947388;794.64386;112.766251;827.721313;1080.864014;344.357239;789.523132;1008.65625;224.315033;824.570923;700.301941;68.254875
18;794.199768;691.861328;68.35183;816.778503;795.447632;115.229019;828.125427;1082.315674;344.837006;789.160767;1010.401917;224.758102;823.954956;701.818298;71.290741
19;794.333191;692.431335;71.277916;816.212952;796.826721;117.66066;828.676086;1083.994019;345.508881;789.186646;1012.157837;225.040146;822.303284;703.13446;73.432915
20;794.210754;692.832947;74.115883;816.04541;797.586304;120.468719;828.793152;1085.84729;345.98642;789.2146;1014.118713;225.269562;821.963074;704.428345;75.951721
21;793.832336;693.720276;77.552292;815.607849;798.409119;122.831474;828.695862;1087.518311;346.402802;789.305237;1016.516235;225.908234;822.168518;704.69397;80.231186
22;793.522644;694.576416;81.430275;815.454895;799.935303;125.335182;828.293213;1089.178101;346.962067;789.042175;1018.572205;226.477066;822.961121;704.697876;84.463692
23;792.89325;695.718933;84.71331;815.094055;801.199524;128.586945;828.386658;1091.059448;347.464691;788.673706;1020.816467;226.786118;823.248413;705.526672;87.88253
24;792.666077;696.911316;88.178352;814.5849;802.324951;130.936081;828.943726;1093.414917;347.719879;788.236877;1022.99762;227.070465;822.81897;706.518921;91.767799
25;792.358582;697.797058;91.279312;814.246643;803.842468;134.380264;829.247681;1095.4823;348.12149;787.323486;1025.208862;228.586655;821.370544;708.104919;94.870491
26;792.121094;699.231506;95.494919;813.875061;805.467224;137.010986;829.147156;1097.638672;348.581787;786.624268;1027.661255;229.762451;820.738159;709.761658;98.195015
27;791.622253;700.695129;99.347534;813.255127;807.220154;139.59375;828.843079;1099.879883;348.951508;786.2052;1029.995605;230.169571;820.800049;710.733398;101.790306
28;791.342773;702.025635;102.71003;812.639343;809.059082;143.244003;828.954102;1102.015137;349.188354;786.043701;1032.824097;231.438797;821.04895;712.232849;105.966698
29;790.713135;703.666931;106.722115;811.834961;810.711182;146.341751;829.072327;1104.447144;349.686157;785.843384;1035.71228;231.608276;820.684204;713.540405;110.439278
30;790.277222;705.174255;110.681107;811.431946;813.041626;149.788727;828.921753;1106.815063;350.676239;785.311096;1038.619507;231.559875;819.577942;716.139954;113.435501
31;789.465698;707.032898;114.743553;810.735779;814.983521;152.522522;828.922485;1109.090454;351.157471;784.766602;1041.6521;232.540344;819.628479;717.386292;117.770668
32;789.148987;709.251587;118.079918;810.087769;817.202454;155.186783;829.308655;1111.603516;351.919708;783.68158;1044.383545;233.894028;819.050049;719.199158;122.067703
33;788.0354;711.438599;122.791611;809.232422;819.730408;159.036865;829.069702;1114.09082;352.145752;782.964294;1047.194336;235.01944;817.282898;722.406555;125.478783
34;788.074463;713.417297;126.100403;808.085266;822.182983;162.371536;828.930786;1116.340332;352.420319;782.721802;1050.240112;235.897629;817.341431;724.26825;129.34111
35;787.148621;715.833679;129.94902;807.171021;824.82135;164.906113;829.347961;1118.958374;352.541656;782.315125;1053.711548;235.868378;817.502563;725.644409;133.682999
36;786.753784;717.949036;133.503632;806.236633;827.147644;168.620132;829.760376;1121.766724;353.390472;782.044556;1057.167725;236.263535;816.56189;727.948059;137.501877
37;785.238281;721.05011;137.630173;805.279724;829.683411;171.284241;829.738586;1124.131592;353.898651;781.349854;1060.358643;237.002197;815.92157;730.566467;141.682312
38;784.128784;723.525757;141.844604;803.950073;833.069763;174.24469;829.719482;1126.184692;354.339172;780.659851;1063.512817;238.017273;814.21167;733.210693;145.482544
39;783.207275;725.817993;144.735443;802.656311;835.956543;177.864822;829.904419;1128.878906;354.983765;779.738525;1066.96582;239.381165;813.132996;735.775146;148.678329
40;782.080139;728.695374;148.149384;801.335571;838.660645;181.16275;829.982056;1131.482788;355.622803;779.153564;1070.656738;239.72583;811.810669;738.417725;152.816055
41;780.509094;731.766479;151.770752;800.318237;841.53302;183.271774;830.10675;1133.930298;356.723236;778.853943;1074.129272;240.090271;811.021667;741.042114;156.370911
42;779.196594;734.674255;155.24614;798.922119;845.015869;186.001999;830.555847;1136.386475;357.160461;778.148743;1077.820435;241.030792;810.102112;743.892944;159.749878
43;777.250977;737.7005;158.289276;797.450623;848.172791;188.872665;830.873413;1139.297485;357.551971;777.776611;1081.201172;241.911469;808.00238;747.328247;162.771103
44;775.04834;741.285034;161.971909;795.601074;851.458191;192.063248;830.904602;1141.825073;357.782806;776.656189;1085.057251;242.888733;806.334045;750.291443;166.14006
45;773.134583;744.374023;165.741241;793.74054;854.430725;194.332336;831.074219;1144.585205;358.081757;776.001587;1088.643188;243.565216;804.662598;753.431702;169.792053
46;771.04425;747.508911;168.952438;792.015198;857.968384;196.521027;831.511414;1147.281006;358.890015;775.46106;1092.200562;244.046249;802.15686;756.641724;172.622757
47;769.378601;750.694214;170.894272;789.987366;861.743591;199.066071;831.056824;1149.848145;359.745819;775.084595;1095.911133;245.377991;799.768311;760.132874;175.25264
48;767.53949;754.39093;173.524841;788.571655;865.191406;201.47374;831.571655;1152.444458;360.234192;774.815735;1099.734741;245.874054;797.969727;763.411987;178.180023
49;765.123657;757.997375;176.58754;786.734741;868.6073;203.600815;832.031616;1154.976074;360.275757;774.199097;1103.408203;246.587738;795.861389;766.936035;180.665436
50;762.541138;761.333008;178.822098;785.183594;872.111206;205.545776;832.034058;1157.69751;361.007874;773.55542;1107.268066;247.49379;793.40741;769.985901;183.138794
51;760.049072;764.899536;181.397705;783.245911;875.436035;207.831177;832.588562;1160.567627;361.641052;773.083435;1111.156494;248.448868;791.141052;773.265625;185.642471
52;757.329529;768.674194;184.228439;781.239014;878.830139;210.154205;833.162048;1163.155151;361.96817;772.698792;1115.026489;249.218399;788.449524;776.867249;187.616165
53;754.598694;771.93158;186.18576;779.364319;882.414001;211.978653;833.618835;1165.713013;362.592834;772.349182;1118.849854;250.104706;785.619629;780.733948;189.462479
54;752.078735;775.638489;187.886185;777.073669;886.255371;214.063477;834.02002;1168.552856;363.330078;771.913208;1122.618652;250.918549;782.97821;784.533569;191.574783
55;749.531311;779.544189;189.46138;774.525574;889.863831;215.710251;834.405151;1171.083374;363.687958;771.770935;1126.394165;251.295593;780.610291;787.563721;193.936066
56;746.658691;783.460754;191.425537;772.384705;893.59137;217.087326;834.872253;1173.666626;364.13504;771.382507;1130.068848;252.229996;777.873779;790.99585;195.322311
57;743.283386;787.004395;193.170807;770.071289;897.234253;218.498123;833.791199;1176.424438;365.180145;770.928467;1133.901245;253.034882;775.05011;794.674988;196.757065
58;739.847595;790.834534;195.142929;767.966064;900.813049;220.004486;834.723511;1179.146729;365.682281;771.093445;1137.397827;253.813034;771.38324;797.927124;198.586273
59;737.183716;794.502075;195.923721;765.346069;904.214478;220.70546;835.567444;1181.402466;366.231476;770.75415;1141.116089;254.230896;768.440125;801.706787;199.791779
60;734.239075;798.412781;197.143921;762.969421;907.730347;222.267303;836.740295;1183.918945;366.48642;770.291321;1144.629517;255.324036;765.56366;804.814392;201.127899
61;730.540833;802.064758;197.776108;760.548767;911.153137;223.79921;836.78717;1186.801147;367.123505;770.391724;1147.9198;256.10791;762.207153;808.889282;202.0345
