Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;815.885376;769.336121;118.716827;731.341614;987.670044;257.475494;779.17157;989.140381;413.582886;800.11969;665.541992;70.345863;823.639709;682.050903;67.309402
2;816.05719;769.411133;118.656654;731.417419;987.906799;257.375763;779.217712;989.159119;413.551147;800.033142;665.345947;70.182739;823.807129;682.06665;67.292603
3;816.287537;769.416809;118.59594;731.572327;987.950745;257.303986;779.202759;989.258728;413.453247;800.320068;665.469788;70.338982;823.922363;682.157043;67.241692
4;816.42395;769.408081;118.566978;731.539795;987.904602;257.227142;779.221741;989.38208;413.398529;800.4151;665.665588;70.543159;824.017273;682.21051;67.300529
5;816.607666;769.469727;118.512543;731.493835;987.907349;257.12738;779.234802;989.398621;413.387238;800.569214;665.670898;70.380516;824.138672;682.314087;67.283508
6;816.709351;769.481873;118.480515;731.823364;988.065308;257.088898;779.194214;989.492432;413.335602;800.683594;665.74292;70.406326;824.313904;682.344482;67.225334
7;816.941711;769.462219;118.363411;732.1026;988.132874;257.009247;779.178528;989.59375;413.301819;800.762512;665.855652;70.451698;824.46637;682.349915;67.232605
8;817.128784;769.539429;118.400787;732.120178;988.136658;256.945526;779.132874;989.623047;413.217712;800.802917;665.963318;70.52092;824.645752;682.441589;67.196686
9;817.44751;769.465515;118.451958;732.138306;988.246277;256.907715;779.133057;989.734314;413.119507;800.86676;666.016113;70.588905;824.813721;682.579224;67.143478
10;817.32019;769.613403;118.493759;732.185608;988.246765;256.875946;779.142334;989.765259;413.093475;800.988586;666.119934;70.630806;824.919617;682.61908;67.092453
11;817.264954;769.729248;118.456406;732.326233;988.336914;256.760101;779.472168;989.716675;412.934723;801.043213;666.329834;70.641258;825.024841;682.731567;67.151512
12;817.447998;769.887024;118.277718;732.388733;988.37854;256.687927;779.320251;989.776978;412.956299;801.023376;666.519226;70.609573;824.130249;683.07196;66.397255
13;817.628723;769.898926;118.21936;732.405762;988.492798;256.687042;779.16333;989.87738;412.982422;801.204468;666.633972;70.586555;822.697021;683.690125;65.012924
14;817.70636;769.999451;118.217262;732.437256;988.548706;256.619446;779.219727;989.912292;412.930084;801.78125;666.477295;70.0355;820.791382;684.489563;63.390343
