Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;798.960876;776.652344;103.127487;806.297363;665.95105;72.046028;832.082214;680.607239;75.819344;732.176575;1023.544434;382.295135;727.76886;1057.771851;209.897552
2;798.894958;776.652283;103.189331;806.276489;665.921204;71.978882;832.296143;680.339233;75.591461;732.220093;1023.575684;382.292236;727.76886;1057.771851;209.897552
3;798.858765;776.568726;103.176933;806.286377;665.836304;71.964592;832.249329;680.278442;75.614067;732.234741;1023.556458;382.270813;727.746399;1057.643921;209.974976
4;798.747253;776.489807;103.087303;806.292419;665.789734;71.834808;832.120056;680.172119;75.37661;732.221375;1023.46637;382.292542;727.69519;1057.616943;209.968872
5;798.745178;776.501038;103.104721;805.674133;665.76062;72.494781;832.052368;680.229187;75.283119;732.145874;1023.447693;382.248749;727.664368;1057.542847;209.92627
6;798.641418;776.432983;103.07383;805.492859;665.767883;72.709908;832.056519;680.149353;75.322479;732.026428;1023.430969;382.364502;727.700134;1057.533081;209.94809
7;798.611084;776.395264;103.13488;805.486023;665.689026;72.694794;831.389587;680.572693;75.233963;732.098328;1023.406982;382.381378;727.656982;1057.512817;209.96521
8;798.653992;776.32666;103.127953;805.561584;665.650818;72.495926;831.859863;680.13916;75.294724;732.132507;1023.306152;382.500061;727.629517;1057.515747;210.002655
9;798.621643;776.325012;103.238136;805.735657;665.621826;72.267883;831.401733;680.275757;75.375206;732.086426;1023.307129;382.439819;727.588318;1057.412231;210.010605
10;798.576965;776.26532;103.242752;805.642761;665.641113;72.220558;831.193787;680.352722;75.335243;732.023987;1023.310913;382.444458;727.598083;1057.393677;210.033234
11;798.596558;776.251526;103.235634;805.569031;665.619568;72.219139;831.141296;680.417175;75.251579;732.010742;1023.309753;382.457153;727.55957;1057.380615;210.083191
12;798.562317;776.204102;103.216583;805.774475;665.477844;72.075439;831.12207;680.403503;75.256042;732.012634;1023.216003;382.476898;727.522827;1057.292114;210.043396
13;798.510803;776.255859;103.290405;805.641663;665.477783;72.239502;831.812073;680.116882;75.422424;731.949707;1023.179871;382.527954;727.48468;1057.328247;210.200836
14;798.404968;776.224426;103.250381;805.649963;665.466492;72.143539;831.364502;680.237244;75.203964;731.907532;1023.174072;382.521362;727.434265;1057.254761;210.201431
15;798.353943;776.19989;103.185219;805.905518;665.469482;71.887665;831.050354;680.2948;75.069557;731.8573;1023.054871;382.550201;727.326538;1057.224731;210.17482
16;798.509277;776.114197;103.327118;805.585083;665.555603;72.15905;831.756592;679.92926;75.382095;731.854614;1023.041443;382.562592;727.28241;1057.232178;210.192566
17;798.436768;776.152222;103.251762;805.774109;665.391174;71.914307;831.876953;679.913391;75.489769;731.85083;1023.041809;382.560455;727.318665;1057.143799;210.161346
18;798.359009;776.156494;103.183624;805.733276;665.389771;71.9814;831.93396;679.858521;75.363976;731.865662;1022.951904;382.53772;727.287476;1057.116577;210.22876
19;798.300598;776.149658;103.233818;805.913574;665.407104;71.760399;831.904236;679.784424;75.308426;731.829895;1022.953003;382.512848;727.180359;1057.09729;210.252502
20;798.283569;776.111206;103.179199;806.024902;665.449829;71.677002;831.899231;679.831909;75.291023;731.85437;1022.937439;382.539185;727.089294;1057.077148;210.268646
21;798.321899;776.150269;103.160995;805.961426;665.419189;71.667969;831.878296;679.913086;75.419731;731.777832;1022.859741;382.552521;727.095764;1057.092773;210.219131
22;798.28717;776.168518;103.186081;805.913269;665.403931;71.742271;831.234985;680.109314;75.200706;731.756409;1022.838928;382.535614;727.09021;1057.086792;210.26683
23;798.295959;776.113159;103.115791;805.962524;665.405701;71.70359;831.741394;679.901001;75.192024;731.691833;1022.814819;382.574799;726.959534;1056.97937;210.251541
24;798.247375;776.090393;103.129341;806.019165;665.393921;71.718697;831.906921;679.914246;75.372253;731.658325;1022.725342;382.53363;726.97052;1056.952515;210.25824
25;798.308899;776.095154;103.158569;806.074341;665.392395;71.747833;831.292175;680.219543;75.153343;731.683228;1022.735413;382.540527;726.991272;1056.957764;210.250961
26;798.30835;776.098694;103.106644;806.172729;665.345764;71.480148;831.073242;680.296326;74.996368;731.674561;1022.735413;382.538605;726.891846;1056.949707;210.28418
27;798.330505;776.052368;103.108833;806.226135;665.361145;71.372711;831.781616;679.991272;75.367401;731.624023;1022.70105;382.54007;726.828003;1056.952881;210.295776
28;798.306946;776.098022;103.105721;806.306824;665.388245;71.352272;831.492249;680.13324;75.232811;731.616821;1022.710022;382.536133;726.830261;1056.934814;210.363129
29;798.3172;776.104187;103.11261;806.322388;665.418518;71.425255;831.242371;680.339905;75.016685;731.585327;1022.72821;382.518829;726.776855;1056.844238;210.308746
30;798.367188;776.100891;103.030319;806.276978;665.393005;71.46347;831.192505;680.307373;74.931984;731.533203;1022.703247;382.526703;726.801147;1056.823975;210.319489
31;798.403503;776.122681;103.065765;806.359924;665.434875;71.539261;831.217712;680.306641;74.941505;731.559509;1022.625061;382.55365;726.86615;1056.846802;210.241684
32;798.459106;776.064392;103.123909;806.402222;665.440796;71.495438;831.967102;680.015625;75.273788;731.554688;1022.610535;382.512482;726.851624;1056.859985;210.203339
33;798.564697;776.116333;103.202499;806.426331;665.440613;71.510979;832.10022;679.902893;75.347137;731.476746;1022.573608;382.578339;726.774536;1056.841797;210.250381
34;798.625305;776.110291;103.231194;806.44397;665.42627;71.468307;832.070862;679.961548;75.499191;731.443359;1022.568359;382.526276;726.788086;1056.829834;210.284149
35;798.487183;776.174377;103.333298;806.56665;665.406006;71.473175;832.067017;679.943542;75.380981;731.446106;1022.578247;382.532745;726.863525;1056.848145;210.241425
36;798.636963;776.107117;103.224487;806.324219;665.335632;71.460274;832.148804;679.945251;75.509613;731.472107;1022.575623;382.533173;726.893738;1056.853149;210.210052
37;798.569336;776.116455;103.246284;806.28656;665.326233;71.580956;832.013916;680.160767;75.886742;731.551025;1022.597595;382.475739;726.959167;1056.759521;210.223602
38;798.558838;776.182251;103.274971;806.480164;665.388489;71.552513;832.061218;680.00177;75.604752;731.508362;1022.617126;382.396912;726.928284;1056.746948;210.223114
39;798.664185;776.067322;103.189827;806.675964;665.484436;71.241226;832.042969;679.966553;75.458405;731.470886;1022.525146;382.434784;726.951538;1056.747681;210.233429
40;798.698303;776.038574;103.181641;806.549377;665.473206;71.291237;832.028625;679.910461;75.330475;731.471863;1022.506287;382.452118;726.887329;1056.756104;210.173019
41;798.609192;776.125305;103.216255;806.435913;665.446106;71.482315;832.000427;679.939941;75.28727;731.477295;1022.493713;382.390442;726.998718;1056.788208;210.069016
42;798.724243;776.015564;103.120667;806.373413;665.398193;71.486336;832.058167;679.919434;75.299232;731.463684;1022.508728;382.408264;727.011902;1056.799561;210.015488
43;798.632141;776.113953;103.190651;806.427979;665.404541;71.437622;832.088013;679.907104;75.314079;731.493958;1022.525513;382.390564;727.050537;1056.792236;210.065918
44;798.723877;776.110596;103.11834;806.42572;665.313049;71.402992;832.01001;679.936401;75.287109;731.474915;1022.509033;382.382446;727.047668;1056.789673;210.087692
45;798.791504;776.101624;103.050621;806.42334;665.316101;71.483742;831.974609;679.912659;75.253662;731.439697;1022.507446;382.296295;727.144287;1056.803223;210.056305
46;798.799622;776.046814;103.066307;806.377014;665.304749;71.48925;831.982666;679.908569;75.270409;731.503967;1022.527588;382.318298;727.180481;1056.806396;210.026306
47;798.794495;776.040527;103.035927;806.414001;665.310852;71.46418;831.983887;679.90387;75.26062;731.487427;1022.535583;382.326996;727.179077;1056.805786;210.023346
48;798.792786;776.044739;103.027565;806.418152;665.308594;71.456367;831.989563;679.90863;75.275864;731.489929;1022.523621;382.279114;727.212524;1056.82373;209.974213
