Frame;1_X;1_Y;1_Z
1;860.303833;706.615723;129.727921
2;860.236938;706.597961;129.727081
3;860.216431;706.604553;129.764496
4;860.108582;706.611694;129.782898
5;859.999756;706.613892;129.823669
6;860.072205;706.658569;129.617584
7;859.826599;706.663086;129.854355
8;859.650208;706.65802;129.981979
9;859.498718;706.734924;129.880569
10;859.365051;706.845459;130.114105
11;859.152649;706.737305;130.333832
12;858.94104;706.695862;130.563522
13;858.688843;706.756958;131.03038
14;858.472534;706.764648;131.326935
15;858.215454;706.789368;131.631104
16;857.865601;706.853394;132.024109
17;857.472839;706.903503;132.59166
18;857.135498;706.700806;133.370758
19;856.486145;706.618286;133.971466
20;855.618103;706.603821;134.493134
21;854.527222;706.709045;135.249924
22;853.585693;706.992188;135.650146
23;852.944885;707.101501;136.263077
24;852.143311;707.074646;137.128815
25;850.467773;707.271301;138.470901
26;848.837891;707.799377;139.27536
27;847.593933;707.974182;140.214081
28;846.141907;708.01355;141.268463
29;844.084595;708.071228;142.223236
30;842.240234;708.375732;143.344727
31;840.455994;708.439819;144.790039
32;838.368591;708.512573;145.913986
33;836.274231;708.59082;146.867126
34;833.956604;708.743408;147.894745
35;831.645996;708.72345;149.110855
36;829.389832;708.828247;150.009323
37;826.743713;708.839539;150.96312
38;824.076721;708.637756;152.375992
39;821.392822;708.509033;153.619064
40;818.295105;708.659668;154.133453
41;815.173523;708.813904;156.010208
42;811.657532;708.912109;157.081299
43;808.678589;709.025574;158.087555
44;805.330444;709.061584;159.189072
45;801.365234;709.114685;160.489075
46;798.043762;709.258118;161.587463
47;794.572693;709.316956;162.652817
48;790.400696;709.320374;163.913254
49;786.859314;709.369202;164.729752
50;783.14325;709.511475;165.270447
51;779.298828;709.431763;166.656158
52;775.26001;709.418213;167.636826
53;771.218323;709.62323;168.286316
54;767.440735;709.59552;168.886795
55;763.477905;709.381653;169.778015
56;759.391541;709.279053;170.169022
57;755.729919;709.273254;170.543579
58;751.782654;709.401794;170.425629
59;747.641541;709.39093;170.356598
60;743.476013;709.411804;170.378998
61;739.598267;709.19574;170.443619
62;735.43335;709.065918;170.706604
63;730.984558;708.987549;170.453827
64;726.998596;708.909424;169.934113
65;722.981934;708.992432;170.05423
66;718.65271;708.747559;170.253693
67;714.464722;708.534302;169.371277
68;710.720642;708.534668;168.790161
69;706.477173;708.661316;168.555161
70;702.005493;708.716309;167.733521
71;698.293152;708.524536;166.972961
72;694.503906;708.461182;166.855759
73;690.492737;708.447998;165.894302
74;686.876648;708.201721;164.587326
75;683.256958;708.141235;163.766632
76;679.631348;708.050232;162.224075
77;676.366272;707.995422;161.421066
78;672.576233;708.084167;160.502304
79;669.170105;708.05603;159.529343
80;666.004395;708.178162;158.252335
81;662.817932;708.328613;156.382034
82;659.949219;708.321106;155.24144
83;656.901001;708.484558;153.542084
84;653.821106;708.686462;152.580658
85;650.848816;708.912964;150.688019
86;648.25293;708.835754;149.235855
87;645.778259;708.961609;147.482712
88;643.366028;709.006714;146.057892
89;641.233582;709.306946;144.67038
90;638.792175;709.428711;142.830475
91;636.841675;709.266235;141.226364
92;634.970642;709.604797;139.24086
93;633.301819;709.6026;137.927429
94;631.055542;709.640076;136.591904
95;629.516174;709.981628;134.030823
96;628.55542;710.091858;132.513474
97;626.876648;710.627014;130.724854
98;625.403381;710.901611;129.213623
99;623.915344;711.010071;128.125137
100;623.255127;711.596985;127.551125
101;622.648621;711.742737;127.577385
102;621.741333;711.805176;127.411514
103;620.819214;711.963074;127.507568
104;620.145508;711.74939;127.432968
105;619.600098;711.509766;127.491409
106;619.083679;711.1521;127.576332
107;618.699402;710.681335;127.686371
108;618.494812;710.17804;128.056824
109;618.25293;709.811462;128.047852
