Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;843.429688;768.578186;88.992317;820.678101;684.682617;38.024845;791.549011;681.666565;34.670135;904.066162;992.540833;230.476349;961.407593;1027.127686;376.746246
2;843.464294;768.504517;88.979248;820.671143;684.654846;37.982697;791.556702;681.669983;34.681076;904.082642;992.524719;230.577744;961.39856;1027.009277;376.819458
3;843.476257;768.467407;88.940056;820.669922;684.657349;37.945145;791.464905;681.622192;34.813354;904.095947;992.424011;230.57019;961.473694;1026.996704;376.849243
4;843.456421;768.519531;88.933228;820.817139;684.509766;38.190914;791.425842;681.60968;34.830341;904.188416;992.396851;230.603058;961.525085;1027.023438;376.861572
5;843.469482;768.481934;88.946144;820.828735;684.368408;38.009525;791.521301;681.667664;34.703594;904.267273;992.281677;230.637177;961.598877;1026.919922;376.849365
6;843.48938;768.456909;88.922218;820.84906;684.288208;37.932579;791.588867;681.716248;34.666992;904.245483;992.260315;230.694046;961.659241;1026.901855;376.866882
7;843.494385;768.442871;88.945808;820.717712;684.480774;38.014366;791.461426;681.644592;34.75547;904.383057;992.184875;230.705994;961.673035;1026.908813;376.881836
8;843.506836;768.463806;88.93708;820.706238;684.550903;38.096436;791.424805;681.612305;34.815678;904.425049;992.170776;230.685364;961.666199;1026.823486;376.858521
9;843.504333;768.464966;88.916168;820.889893;684.353149;37.976807;791.497314;681.636658;34.724209;904.515564;992.159607;230.707047;961.740784;1026.791504;376.907257
10;843.501831;768.421143;88.928108;820.671143;684.47113;38.035507;791.549683;681.633911;34.67215;904.5401;992.157043;230.748764;961.818115;1026.795654;376.991486
11;843.533142;768.395203;88.967659;820.7323;684.415771;37.889881;791.515686;681.664063;34.695015;904.589844;992.073608;230.796921;961.845032;1026.794556;376.998596
12;843.544006;768.337769;89.009438;820.762024;684.362915;37.907089;791.496704;681.56897;34.735409;904.645569;992.026184;230.827591;961.855164;1026.789673;376.964417
13;843.554443;768.335449;89.012199;820.743896;684.358521;37.932713;791.414429;681.577393;34.840656;904.709656;992.043274;230.808212;961.922913;1026.682495;377.017059
