Frame;1_X;1_Y;1_Z
1;883.660156;664.044128;137.833771
2;883.389648;664.085266;137.812851
3;883.06665;664.053345;137.899185
4;882.784363;663.957397;137.849884
5;882.531799;663.929199;137.880051
6;882.162964;664.032776;138.163116
7;881.832703;664.085266;138.368713
8;881.422974;664.064758;138.578949
9;881.005066;664.026245;138.738846
10;880.513123;664.172485;138.993317
11;879.915222;664.349487;139.514801
12;879.489014;664.543152;139.730453
13;879.019958;664.734802;140.090591
14;878.395508;665.019836;140.782288
15;877.811768;665.220825;141.758636
16;877.016907;665.501221;142.440155
17;876.696045;665.875427;143.040726
18;876.026855;666.413391;143.59465
19;875.376038;667.063171;143.925949
20;874.639954;667.785645;144.773972
21;873.781982;668.506348;145.934067
22;873.004944;669.274475;147.046356
23;872.18219;670.184326;147.789658
24;871.436096;671.168335;148.516296
25;870.821167;672.149658;149.376831
26;869.8255;673.386475;150.643356
27;868.611389;674.575256;151.610275
28;867.727051;675.681763;152.577698
29;866.536438;677.071899;153.959641
30;864.832642;678.351318;155.708557
31;863.79657;679.559265;156.380859
32;862.27887;681.04187;158.071228
33;860.706238;682.486267;159.631836
34;858.797119;683.800598;160.815491
35;857.43219;685.398438;162.305817
36;855.544739;687.224426;163.797409
37;853.682007;688.760437;165.038437
38;851.611572;690.728271;166.28331
39;849.087708;692.669006;167.694763
40;846.910095;694.704895;169.064651
41;844.325195;696.925049;170.432922
42;841.530945;699.397156;171.421158
43;838.611938;701.642822;172.50058
44;835.637268;704.224731;173.604721
45;832.716187;706.694153;174.665573
46;829.300171;709.200378;175.929398
47;825.836792;711.946838;177.155807
48;821.973572;714.627747;178.387772
49;818.247131;717.875366;179.347992
50;814.295776;720.590515;179.922134
51;810.086914;723.483337;181.501938
52;805.443115;726.406311;183.037888
53;801.202454;729.658691;183.397537
54;797.175171;732.833679;183.845703
55;792.446289;735.860535;184.790451
56;787.651123;739.293335;185.367188
57;782.835693;742.44696;186.638367
58;777.878113;745.444214;187.344284
59;773.091003;748.962585;187.571304
60;768.213135;752.484924;187.95636
61;763.139526;755.88446;188.305878
62;757.998901;759.247742;189.089813
63;752.844666;762.841675;189.437073
64;748.009521;766.183105;189.642731
65;742.81488;769.783203;189.678711
66;737.488342;773.031616;190.227798
67;732.732056;776.522278;189.997879
68;727.802612;780.012085;189.979614
69;722.882141;783.49707;189.905151
70;717.905884;786.729248;190.129166
71;712.930725;790.16095;189.786194
72;707.836426;793.159241;189.66777
73;703.26593;796.313171;189.354385
74;698.738525;799.678345;188.805695
75;693.797424;802.552795;188.869629
76;689.052551;805.492432;188.277969
77;684.621704;808.184082;188.089706
78;680.33197;811.077454;187.437332
79;675.677795;813.958496;186.901505
80;671.341492;816.768005;186.73082
81;666.78717;819.235352;186.545853
82;662.496826;821.930359;186.056976
83;658.625;824.658142;185.060135
84;654.5979;826.752563;184.752258
85;650.469177;829.204468;183.937332
86;646.856018;831.664673;183.519562
87;643.05304;833.871948;182.790924
88;639.454773;836.193054;182.353165
89;635.55072;838.178589;181.958221
90;632.22876;840.397339;181.696899
91;628.762512;842.301208;180.986145
92;625.579346;844.308777;180.412903
93;622.340759;846.202637;179.680328
94;619.408325;847.980652;178.990112
95;616.397644;849.500854;178.25264
96;613.751587;851.175964;177.401047
97;610.671448;852.627075;176.645447
98;607.942383;853.92218;176.044998
99;605.410156;855.272888;175.919266
100;602.807922;856.526184;175.026932
101;600.502441;857.638733;173.951187
102;598.177246;858.924561;173.113174
103;596.023865;859.99585;172.451828
104;593.704102;860.718506;171.813354
105;591.469055;861.67395;171.224564
106;589.634827;862.730042;170.451721
107;587.887085;863.692749;169.655319
108;585.68396;864.321289;168.77446
109;584.175842;864.969666;167.99379
110;582.234009;865.48291;167.908218
111;580.515137;866.299377;166.678116
112;578.967896;866.891479;166.057709
113;577.551819;867.484436;165.345154
114;576.486572;867.967529;164.296768
115;574.72345;868.399109;163.556168
116;573.196106;868.730774;163.244049
117;571.797363;868.895081;163.182312
118;570.677185;869.212585;162.456558
119;569.149353;869.483887;162.186401
120;568.085693;869.927979;160.973175
121;567.245056;870.247681;160.097122
122;566.314636;870.489502;159.676071
123;564.985229;870.746155;159.266235
124;563.518494;870.731079;159.393967
125;562.699524;870.884094;158.537003
126;562.0;871.138428;157.334488
127;561.266724;871.302795;156.556351
128;560.519958;871.344299;156.228943
129;559.62793;871.350342;155.813705
130;559.056946;871.633301;154.55957
131;558.139282;871.461304;154.309692
