Frame;1_X;1_Y;1_Z
1;876.333069;619.134949;109.479675
2;876.599304;619.222534;109.433678
3;876.648193;619.226257;109.372536
4;876.639832;619.20752;109.386772
5;876.437927;619.15094;109.516884
6;876.327454;619.14209;109.603218
7;876.351379;619.234497;109.626305
8;876.36145;619.251892;109.615044
9;876.370728;619.233032;109.620789
10;876.358887;619.238098;109.733833
11;876.335754;619.257385;109.972351
12;876.328979;619.262451;110.080276
13;876.320923;619.273071;110.255226
14;876.330505;619.250916;110.46492
15;876.302185;619.362793;110.693466
16;876.193237;619.383179;110.975494
17;876.156128;619.385864;111.289436
18;876.294495;619.612;111.466209
19;876.351135;619.798584;111.688339
20;876.181152;619.875305;112.084244
21;876.003845;619.8349;112.65274
22;875.951843;619.856812;113.001167
23;875.896179;619.930054;113.310997
24;875.795715;620.045471;113.669418
25;875.774292;620.150818;114.076607
26;875.628784;620.373108;114.680473
27;875.422791;620.77417;115.555023
28;875.251282;621.187256;116.632202
29;875.003906;621.44696;117.548012
30;874.724915;621.762939;118.294212
31;874.84021;622.117737;118.931282
32;874.784546;622.440247;119.690559
33;874.497803;622.796631;120.64637
34;874.002136;623.21637;121.631447
35;873.687317;623.587402;122.603355
36;873.48645;624.057739;123.285683
37;873.153198;624.579407;124.955177
38;872.664856;625.355347;126.286674
39;872.031311;626.268921;127.601501
40;871.621887;627.063232;128.61441
41;871.152466;627.734802;129.751663
42;870.223999;628.354614;130.98941
43;869.263916;629.685364;132.018234
44;868.424377;631.026123;133.253448
45;867.712708;631.887512;134.334549
46;866.535828;632.961731;135.801178
47;865.196411;634.304871;137.955139
48;864.011658;635.23291;139.365402
49;862.451599;636.583069;140.771469
50;861.2724;638.3396;142.348495
51;859.626038;639.869141;143.580124
52;857.904297;641.370483;145.505051
53;855.806152;643.092102;147.139038
54;853.970215;644.619324;148.414917
55;851.88855;646.746033;149.936462
56;849.650635;648.491638;151.295792
57;847.592407;650.405029;153.406372
58;845.05011;652.118225;155.479965
59;842.555725;654.536194;156.262192
60;839.968323;656.524231;158.200195
61;837.389954;658.61438;159.714294
62;834.597839;661.09137;160.81868
63;831.680054;663.31134;162.650986
64;828.775818;665.856567;163.779572
65;826.002563;667.961487;165.017197
66;823.052368;670.534546;166.27948
67;819.833923;672.843872;167.960678
68;816.633728;675.161011;168.848694
69;813.444763;677.889282;170.405273
70;809.850708;680.33783;171.579865
71;806.721252;682.74231;172.535187
72;803.065002;685.332581;173.304779
73;799.8797;687.988159;174.457977
74;795.594971;690.617065;175.654907
75;792.037354;693.058533;176.793015
76;788.683289;695.61676;177.119522
77;785.211914;698.270325;177.155899
78;781.701599;700.708069;177.917709
79;777.945251;703.246216;178.991364
80;774.223145;705.928101;178.852859
81;770.563477;708.507629;178.903076
82;766.523438;711.080505;179.813522
83;762.87085;713.939331;179.557449
84;759.084595;716.367493;179.599808
85;755.266541;719.18988;179.402832
86;751.227783;721.961365;180.184448
87;746.973022;724.483337;180.720978
88;743.158142;727.423035;180.434113
89;739.457336;730.067993;180.270813
90;735.400513;732.768188;180.508224
91;731.447205;735.514832;180.634094
92;727.52063;738.236328;180.550156
93;723.450623;741.106995;180.393661
94;719.600464;743.739258;180.373138
95;715.453369;746.820984;180.304016
96;711.32666;749.230347;180.47258
97;707.457153;752.436829;179.960831
98;703.529419;755.1026;179.877243
99;699.598145;757.922974;179.299789
100;695.786987;760.354797;179.294495
101;691.832092;763.070679;179.008972
102;688.201416;765.514038;178.744095
103;684.163391;768.131897;178.14447
104;680.745972;770.59967;177.716888
105;676.905823;773.160583;177.125748
106;673.122009;775.660706;176.727356
107;669.622314;777.979126;175.585129
108;665.902283;780.306702;175.150604
109;662.562622;782.867615;174.615784
110;658.586487;785.247192;174.391724
111;655.005249;787.664063;173.784332
112;651.751099;789.825073;173.271561
113;648.55188;791.756104;172.053238
114;645.273621;794.036743;171.635712
115;641.955078;795.904907;170.771301
116;638.579041;797.991455;170.258575
117;635.222473;799.945251;169.182175
118;632.200012;801.675781;168.720093
119;629.29364;803.826538;167.88208
120;626.301086;805.203552;167.452881
121;622.957092;807.164734;166.552383
122;619.482117;808.629822;166.619614
123;617.459412;810.247681;165.613556
124;614.368591;811.72522;164.805511
125;611.810608;813.313782;164.084213
126;609.241638;814.822571;163.051788
127;606.594116;815.904114;162.493973
128;604.18219;817.565613;161.691406
129;601.454285;819.077576;161.388275
130;598.894897;820.098267;161.060577
131;596.672546;821.328247;160.106827
132;594.276428;822.727173;159.568573
133;591.731201;823.815796;159.35202
134;589.619934;824.748413;158.29834
135;587.492432;825.947449;157.488724
136;585.40802;827.077454;157.354813
137;582.838196;827.862976;156.700348
138;580.853821;828.629272;156.052551
139;579.128113;829.52063;155.204163
140;577.262024;830.280029;153.629181
141;575.585083;831.040161;152.95665
142;573.671082;831.702515;152.766724
143;571.278687;832.167908;152.013535
144;569.684875;832.417786;151.170227
145;568.14093;832.788208;150.142685
146;566.414368;833.425537;149.42424
147;564.486511;833.963745;148.725037
148;563.270813;834.45929;148.067261
149;561.852295;834.77478;146.949142
150;560.439941;835.187073;145.89505
151;558.980347;835.508789;144.772049
152;557.739319;835.795044;144.24942
153;556.345398;835.984802;143.32634
154;555.360779;836.367798;141.64621
155;554.171936;836.505676;140.92836
156;552.458374;836.552979;141.017654
157;551.157166;836.790894;140.630707
158;550.190857;836.863525;138.988373
159;549.393799;836.908691;138.01622
