Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;970.815491;681.227661;309.890259;782.513489;487.348999;30.328386;863.074768;475.475006;31.386137;895.672913;559.595886;66.429337;1013.877502;808.407227;504.293457
2;970.827942;681.225708;309.860229;782.513489;487.348999;30.328386;863.090881;475.468445;31.346329;895.646912;559.578125;66.551666;1013.866638;808.337036;504.353027
3;970.769226;681.255859;309.87674;782.513489;487.348999;30.328386;863.154968;475.498138;31.290318;895.609192;559.403442;66.392448;1013.858276;808.380676;504.306702
4;970.744751;681.223938;309.884613;782.528198;487.375366;30.25329;863.165894;475.492188;31.316647;895.649292;559.525818;66.518082;1013.958252;808.37262;504.33316
5;970.770813;681.243042;309.883759;782.531433;487.366699;30.243046;863.140747;475.484406;31.318151;895.642639;559.609253;66.515762;1013.884705;808.383179;504.315552
6;970.771118;681.203613;309.86792;782.521057;487.352112;30.312418;863.082275;475.505737;31.277998;895.666443;559.49353;66.556747;1014.009338;808.377625;504.315765
7;970.757324;681.196838;309.884979;782.510376;487.346558;30.336981;863.146851;475.510925;31.279377;895.661804;559.536255;66.562187;1014.133484;808.364258;504.338135
8;970.769958;681.22821;309.91449;782.546814;487.350769;30.319006;863.124146;475.504578;31.292559;895.690002;559.508118;66.591728;1014.070496;808.38562;504.361938
9;970.828369;681.223755;309.927246;782.529053;487.343964;30.301729;863.049622;475.488739;31.292574;895.650757;559.462219;66.584679;1014.22522;808.361816;504.405762
10;970.894287;681.192749;309.933258;782.558472;487.360291;30.247145;863.14801;475.496704;31.271025;895.637329;559.454468;66.585442;1014.288452;808.351624;504.362335
11;970.876709;681.190308;309.907684;782.566589;487.358795;30.287775;863.18573;475.512482;31.281778;895.623108;559.480469;66.607735;1014.357056;808.324341;504.363983
12;970.885864;681.206787;309.942566;782.557434;487.334259;30.312244;863.125427;475.498291;31.264622;895.652527;559.47229;66.604713;1014.437561;808.328674;504.398651
13;970.88623;681.210266;309.95282;782.553955;487.347931;30.313354;863.148315;475.508759;31.29439;895.646545;559.46051;66.583977;1014.355164;808.2854;504.502014
14;970.883179;681.219788;309.930054;782.54834;487.355499;30.320717;863.113586;475.461548;31.313763;895.642639;559.459351;66.580414;1014.302734;808.32489;504.442627
