Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;820.172119;985.980713;211.431549;825.699402;767.652954;93.25209;845.152466;1075.036743;421.633301;805.851318;674.815308;56.998543;800.097655;654.7440800000003;70.7562650000001
2;820.143799;986.180359;211.379227;825.689453;767.888245;93.614357;845.037537;1075.069946;421.540314;799.805115;653.922607;69.232346;800.1128530000001;654.6511840000002;70.72869200000008
3;820.142761;986.511475;211.361176;825.670532;768.150208;94.114319;845.023499;1075.175293;421.568756;797.915283;638.848755;78.838997;799.938964;654.6423950000002;70.66494100000006
4;820.091125;986.867126;211.320343;825.694275;768.5177;94.568092;845.320068;1075.447632;421.202484;796.085571;628.417236;85.667549;799.936828;654.645813;70.71761400000003
5;820.0047;987.447754;211.086807;825.667664;768.820007;94.980751;845.368164;1075.472534;421.362274;808.891388;652.3987425;78.23094549999999;800.011169;654.638977;70.739891
6;819.929443;987.736206;210.945663;825.680176;769.246033;95.349968;845.308472;1075.541992;421.471619;821.697205;676.380249;70.794342;800.225952;654.913879;71.795265
7;819.875305;988.179321;210.772949;825.661377;769.664856;96.232872;845.322205;1075.647217;421.507172;816.106689;678.020874;66.311111;800.179932;655.389099;72.908524
8;819.828247;988.888306;210.68158;825.676392;770.221191;97.249863;845.347717;1075.766113;421.521759;812.110535;678.659973;64.343651;799.837769;655.6698;74.264633
9;820.245911;989.785767;210.314285;825.581482;770.506897;98.099617;845.29303;1075.967163;421.484924;813.4600325;678.765574;67.853793;799.556763;656.13269;75.783958
10;819.747131;990.727661;210.619354;825.682068;770.779907;99.322487;845.20813;1076.210205;421.506897;814.80953;678.871175;71.363935;799.405396;656.731384;77.570015
11;819.43811;991.463562;210.832642;825.362976;771.281311;100.590729;845.004578;1076.542114;421.522369;816.1590275000001;678.976776;74.874077;798.999878;657.101135;79.201065
12;819.415833;992.303467;210.89917;825.171143;771.7052;101.901451;844.919678;1076.869019;421.405884;817.5085250000001;679.0823770000001;78.384219;798.749084;657.453979;81.628021
13;819.091003;993.370361;210.928589;825.10675;772.656433;103.521828;845.048462;1077.187134;421.389465;818.8580225000001;679.187978;81.894361;798.335571;658.015442;83.679092
14;819.171265;994.746948;210.428818;824.836365;773.550293;105.121674;845.078003;1077.550293;421.363129;820.20752;679.293579;85.404503;798.081665;658.797974;85.962181
15;819.09436;995.9245;210.386215;824.585327;774.138794;106.72522;845.12854;1077.909058;421.29718;816.1737370000001;680.830322;84.24791350000001;797.808289;659.292847;88.50312
16;819.028076;997.391907;210.353119;824.409729;775.027222;108.700844;844.864868;1078.282471;421.503662;812.139954;682.367065;83.091324;797.449463;660.024963;91.038208
17;818.93689;998.748718;210.43985;823.955933;775.740723;110.478592;844.803772;1078.746948;421.56601;811.733093;683.533386;84.676849;797.178406;661.152466;93.362885
18;818.765686;1000.03064;210.845718;823.786926;776.83606;112.376228;844.81073;1079.0979;421.376007;811.031006;683.939575;87.803825;796.51239;662.078491;96.078636
19;818.638672;1001.609802;211.060623;823.125244;777.822144;114.517487;844.844299;1079.599609;421.294952;811.059082;684.466187;90.561378;795.909729;663.003906;98.736183
20;818.768005;1002.916504;211.270538;822.631958;778.787109;116.666458;844.905579;1080.164795;421.333862;811.981812;685.73584;94.708244;795.386414;663.76886;101.447136
21;818.734619;1004.622498;211.408386;822.05957;779.828125;118.975311;845.029419;1080.726563;421.656067;810.687256;686.797791;97.409073;794.632751;664.86261;104.651054
22;818.450439;1006.336243;211.182358;821.662903;781.251831;120.767471;845.011475;1081.193115;421.713257;807.716064;687.310486;98.215912;793.606628;666.007507;107.046356
23;818.370422;1008.139221;211.061844;820.882385;782.492004;123.113205;845.069031;1081.776855;421.702423;805.31604;688.327454;99.969322;792.733337;667.419678;110.218849
24;818.440063;1009.811584;211.083099;820.431519;783.559875;125.44252;845.338806;1082.335205;421.641296;809.76828;689.2377624999999;107.473999;791.953979;668.534729;112.882561
25;818.066223;1011.897705;211.403137;819.520691;785.155823;127.753853;845.500854;1082.884888;421.575897;814.22052;690.148071;114.978676;790.836731;670.125305;115.741257
26;817.742126;1013.695435;211.898102;818.862854;786.840637;130.078354;845.584473;1083.503662;421.50296;812.715332;691.181091;116.97081;789.949707;671.634338;118.928215
27;817.45752;1015.663513;212.213287;817.998291;788.042603;132.46344;845.715759;1084.136475;421.563049;809.429749;694.013489;117.143494;788.783203;673.154175;121.638153
28;817.209045;1017.666931;212.322586;816.989441;790.04071;134.844254;845.859375;1084.750488;421.517975;805.249817;696.320068;117.339127;787.795715;674.808716;124.325562
29;816.851257;1020.037231;212.107666;816.097229;791.556213;136.898636;845.698364;1085.351563;421.784576;801.496521;698.378845;118.454208;786.717712;676.508057;127.136757
30;816.822388;1022.034119;212.047165;814.83905;793.81781;139.138885;845.597229;1086.046021;421.981903;802.9469196666666;699.4821573333332;123.45116666666668;785.371033;678.474976;129.886368
31;816.412842;1024.307129;212.431229;814.050232;795.184021;141.549194;845.663086;1086.736938;422.130829;804.3973183333334;700.5854696666667;128.44812533333334;783.691895;680.34375;132.979691
