Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;804.168945;723.471008;103.02475;813.343689;822.042969;124.595238;793.021729;1078.584473;184.658783;782.617859;1162.636597;331.833862;767.976501;724.0847170000002;100.17424900000005
2;803.097534;725.999695;106.174583;812.232605;824.745544;128.341766;792.824158;1081.209961;185.281982;782.846619;1164.39209;332.734894;767.991699;723.9918210000001;100.14667600000004
3;802.383301;728.872498;110.057983;811.492432;827.578125;130.975708;792.410706;1084.211548;185.638687;782.69812;1166.44812;333.656769;768.06604;723.984985;100.168953
4;801.499939;731.712646;114.063118;810.518616;830.541931;133.530685;792.092712;1087.961182;185.732101;782.665283;1168.497681;334.241791;767.354492;726.619141;103.578712
5;800.711853;734.464966;118.180634;809.299011;833.652527;136.608673;792.086426;1091.264648;186.210007;782.85321;1170.51001;334.885284;766.156555;729.679443;107.900505
6;799.680786;737.53363;122.308037;808.667542;836.959778;140.133438;791.48584;1094.397705;186.842758;782.901428;1172.570313;335.865662;764.925781;732.678772;112.227921
7;798.516968;740.798401;126.191788;807.538879;840.259338;143.238327;790.987305;1097.61792;187.515289;782.797729;1174.64502;336.725464;763.949524;735.680115;116.259247
8;797.664124;744.032898;130.223038;806.550049;843.450073;146.286377;790.967834;1101.328369;187.824677;783.027344;1176.910278;337.320801;762.74762;738.85022;120.437325
9;796.462708;747.322205;134.421814;805.612976;847.207031;149.510864;790.358704;1104.810059;188.033585;782.82428;1179.360962;338.017853;762.096802;742.049622;124.58165
10;795.437866;750.90802;138.577744;804.670105;851.087036;152.365433;789.669983;1108.302856;188.973526;782.477722;1181.460205;339.284607;760.906372;745.637024;128.588852
11;794.302673;754.437317;142.839203;803.479431;854.785645;155.718903;789.56781;1112.05127;189.773636;782.764526;1183.753662;340.3367;760.055603;749.04364;132.785614
12;793.210327;758.203064;147.312195;802.46814;858.365601;158.84584;789.362488;1115.852661;189.624802;783.274841;1186.143677;341.118927;758.67395;752.723083;136.91391
13;792.203064;761.84491;151.274567;801.360596;862.107727;162.049164;789.480042;1119.262451;190.236221;783.442688;1188.43042;341.900726;757.519836;756.371216;140.879944
14;790.831116;765.548645;154.982086;800.015015;866.088867;165.169006;788.530334;1123.084961;191.404099;783.558472;1190.745728;342.602173;756.531311;760.096069;144.440552
15;789.378967;769.306824;158.543594;798.630981;870.104919;168.235825;788.343323;1126.985596;191.987335;783.479492;1193.15918;343.982758;755.029724;764.079285;147.928162
16;787.978638;773.069763;161.839523;797.449158;873.966614;171.437286;788.134094;1130.897705;192.640411;783.397217;1195.987183;344.661041;753.526123;768.119324;151.708862
17;786.319519;777.262512;165.101868;796.243225;877.638672;174.333618;787.9656064999999;1134.499817;193.2597425;783.925903;1198.221802;345.581085;752.044189;771.970032;155.584122
18;784.503784;781.277649;168.553574;794.608398;881.409058;177.412674;787.797119;1138.101929;193.879074;784.265747;1200.533936;346.698578;750.171509;775.852905;158.939789
19;782.5448;785.394897;171.783325;793.23761;885.489441;180.052216;787.032593;1142.05481;195.397522;784.27533;1203.287354;347.610718;748.236511;779.888733;162.106262
20;780.596375;789.254395;174.894791;791.786621;889.610046;182.721222;786.9635925;1145.886414;196.131874;784.254883;1205.826538;348.352783;746.097717;783.973755;165.396393
21;778.669922;793.108337;177.842514;790.234619;893.495239;185.085495;786.894592;1149.718018;196.866226;784.343872;1207.922852;349.694763;743.819458;788.067261;168.704453
22;776.444153;797.014343;180.62648;788.320984;897.341858;187.781555;786.6382443333333;1153.4318036666666;197.7690836666667;784.298889;1210.659302;350.720276;741.635498;792.273743;171.301315
23;773.94043;801.07605;183.183075;786.544861;901.426575;190.151062;786.3818966666666;1157.1455893333334;198.6719413333333;784.578003;1213.370361;351.676605;740.263672;796.382019;172.728592
24;771.453735;805.125977;185.547165;784.792114;905.372803;192.383743;786.125549;1160.859375;199.574799;785.119568;1215.375977;352.736084;737.919678;800.450989;175.327286
25;769.445862;809.15564;187.601959;782.968201;908.89856;194.223984;785.7822265;1164.6967165;200.480469;785.266479;1217.642944;353.916443;735.002136;804.403625;177.573746
26;767.053223;812.997498;189.14299;780.683533;912.911377;195.968216;785.438904;1168.534058;201.386139;785.157349;1220.35376;355.03775;732.337341;808.423035;179.219177
27;764.492981;816.804199;191.29248;778.445862;916.9151;197.673157;785.534668;1172.210571;202.098434;785.332886;1222.720215;356.282043;729.772095;812.31012;181.51033
28;761.60437;820.774597;193.211807;776.347534;920.497131;199.233871;785.304535;1175.757446;203.385849;786.383301;1224.593628;357.409943;727.102356;816.390564;182.491394
29;759.096863;824.498352;194.295517;774.189575;924.303833;201.203644;785.074402;1179.304321;204.673264;786.546021;1227.19104;358.39212;724.627808;820.499268;183.200455
30;756.230774;828.398865;195.517899;771.844971;928.068665;202.531021;785.391907;1183.222534;205.414505;786.592041;1229.601685;359.354797;722.355713;824.372009;184.253876
31;753.284607;832.003662;196.702103;769.34436;931.742615;203.507187;785.4119466666666;1186.642740666667;206.23872366666663;787.412842;1231.689697;360.389343;719.980408;828.211304;184.536362
32;750.879456;835.683594;196.987396;766.754639;935.13678;205.055267;785.4319863333334;1190.062947333333;207.06294233333327;788.359863;1233.944946;361.260345;717.057007;832.085754;185.557556
33;747.920105;839.407227;197.619614;764.540161;938.64917;205.536301;785.452026;1193.483154;207.887161;788.300842;1236.276245;362.501312;714.275391;835.752686;185.975998
34;745.447266;843.107056;197.873581;762.448425;942.185425;206.28537;784.815125;1196.687988;209.069336;788.60083;1238.454712;363.447998;711.194275;839.512878;186.215805
35;742.515198;846.244324;198.043655;760.654541;945.420166;206.557587;785.1683045;1199.9889525;209.8857955;788.975769;1240.532471;364.523224;708.473511;843.252258;186.347824
