Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;787.066345;823.363586;34.497555;925.97113;836.102478;68.892731;1039.189453;980.530518;299.110504;1009.63324;923.623596;467.105255;919.033021999999;779.6154799999993;59.57071299999989
2;787.070068;823.32196;34.631454;925.957458;836.092957;68.821861;1039.197754;980.44574;299.024689;1009.529968;923.660645;467.150421;919.062074999999;779.6782239999992;59.53683799999987
3;787.098145;823.341553;34.59539;925.913147;836.080688;68.704201;1039.242065;980.438904;299.068176;1009.641846;923.631592;467.188263;918.947450999999;779.6342179999992;59.69314899999983
4;787.20282;823.323792;34.44799;925.895142;836.080627;68.660309;1039.262451;980.442139;299.086792;1009.73114;923.610168;467.15448;919.0425439999989;779.7416399999992;59.62713999999982
5;787.051941;823.301086;34.511078;925.894104;836.082031;68.665527;1039.238403;980.505676;299.075958;1009.759277;923.617798;467.2164;919.0838039999988;779.7503069999992;59.60507599999982
6;787.051147;823.319824;34.634129;925.892334;836.082031;68.675095;1039.162598;980.480408;299.073395;1009.775391;923.610535;467.226868;919.109926999999;779.7519549999993;59.583042999999854
7;787.023865;823.351807;34.560844;925.956726;836.092712;68.800911;1039.27417;980.461304;299.073242;1009.839294;923.631775;467.164581;919.1973289999991;779.7487209999993;59.543736999999844
8;787.095459;823.338013;34.621845;925.953735;836.104431;68.877876;1039.36145;980.449524;299.035217;1009.86322;923.539551;467.149292;919.2656879999989;779.7247339999992;59.50491899999985
9;787.029419;823.342773;34.546036;925.897644;836.08313;68.743401;1039.383057;980.447388;299.013855;1009.858337;923.518982;467.152679;919.2921779999989;779.7362089999992;59.50421699999986
10;787.076477;823.32843;34.630241;925.888306;836.07959;68.667198;1039.373535;980.448547;299.017365;1009.9021;923.52417;467.212921;919.283998999999;779.7522609999993;59.471592999999864
11;787.086365;823.325439;34.663864;925.962097;836.092896;68.783897;1039.329468;980.5177;299.030396;1009.957214;923.542847;467.202393;919.263612999999;779.7871119999993;59.48770699999988
12;786.926025;823.302246;34.595913;925.898621;836.083435;68.709061;1039.317139;980.529175;299.03244;1009.974304;923.545288;467.187012;919.4049709999989;779.7403589999992;59.41602099999988
13;787.077881;823.345215;34.596531;925.884949;836.080994;68.67276;1039.322388;980.522949;299.028229;1009.972046;923.54364;467.185486;919.350771999999;779.7301659999993;59.46109499999988
14;786.963806;823.311584;34.55666;925.957153;836.092712;68.793213;1039.390625;980.482971;299.040253;1010.065674;923.557373;467.222137;919.417421999999;779.7418239999992;59.4569439999999
15;787.109985;823.340271;34.524525;925.956177;836.104797;68.874786;1039.43042;980.498352;299.059204;1010.125732;923.548645;467.206268;919.4830959999989;779.7302889999991;59.41391499999991
16;787.107361;823.367859;34.505432;925.879272;836.084412;68.727112;1039.336792;980.56189;299.086182;1010.134949;923.5448;467.194733;919.7006249999989;779.612857999999;59.500462999999904
17;786.978088;823.295166;34.643379;925.949707;836.091125;68.78788;1039.399902;980.514343;299.08316;1010.128174;923.544861;467.196533;919.592591999999;779.6234779999991;59.5594529999999
18;786.990906;823.339172;34.582523;925.930603;836.111267;68.834694;1039.360718;980.544983;299.075348;1010.255371;923.573425;467.176697;919.4130259999989;779.617374999999;59.4813279999999
19;787.071655;823.332214;34.615437;925.877747;836.086853;68.715652;1039.357422;980.548218;299.07547;1010.277283;923.572998;467.187469;919.5964979999989;779.526553999999;59.55106099999988
20;787.093384;823.359009;34.542557;925.886353;836.079712;68.666138;1039.304321;980.558838;299.033142;1010.291748;923.558044;467.184875;919.6804829999988;779.3643829999991;59.66309099999989
21;787.07666;823.366455;34.487911;925.96283;836.092224;68.78759;1039.385132;980.510925;299.034088;1010.368286;923.575256;467.127563;919.4863909999989;779.417483999999;59.67407799999989
22;787.070557;823.365295;34.485416;925.89856;836.083191;68.710487;1039.476929;980.523682;298.995453;1010.399109;923.578735;467.104004;919.5640269999989;779.2830839999991;59.68417899999991
23;787.054504;823.34967;34.536091;925.944397;836.10321;68.837563;1039.617676;980.508118;298.93866;1010.477905;923.56488;467.146545;919.8739639999989;779.0758079999991;59.61960299999992
24;787.023438;823.36908;34.53368;925.951965;836.09552;68.846375;1039.599243;980.540039;298.920441;1010.550903;923.602905;467.151031;919.3858039999988;779.1757219999992;59.54700099999996
25;787.183472;823.326782;34.453075;925.888672;836.081299;68.706566;1039.559082;980.550781;298.941071;1010.555359;923.586548;467.123108;919.6314089999988;779.1268329999992;59.49905799999993
26;787.135376;823.315063;34.637508;925.97113;836.101135;68.843155;1039.609985;980.51239;298.977295;1010.548462;923.578735;467.118286;919.6694949999988;779.1561909999992;59.458712999999925
27;787.072632;823.323242;34.686573;925.961731;836.095276;68.844292;1039.622681;980.49176;299.010834;1010.581238;923.565186;467.082367;919.462218999999;779.1962299999992;59.3121979999999
28;787.059814;823.355896;34.569992;925.953613;836.006042;68.822998;1039.698975;980.506042;298.948456;1010.615601;923.652527;467.058319;919.5382689999989;779.1910419999991;59.279055999999905
29;786.956848;823.314758;34.56847;925.890503;836.059082;68.69825;1039.877808;980.447083;298.859802;1010.753296;923.674133;467.075684;919.6428839999988;779.1340959999992;59.108035999999906
30;786.851685;823.28302;34.621197;925.888794;836.086487;68.660896;1039.813232;980.492554;298.858582;1010.946289;923.629028;467.012573;919.6682749999987;779.2295549999992;58.9955789999999
31;786.964661;823.336548;34.580673;925.895325;836.086365;68.665871;1039.777954;980.526489;298.915955;1010.887512;923.671631;467.013794;920.0192269999988;779.2686789999991;58.945163999999856
32;787.064758;823.366272;34.50473;925.959778;836.093445;68.797318;1039.888672;980.386841;298.875549;1010.873901;923.587952;467.003784;920.2824109999989;779.4360379999991;58.925693999999844
33;787.125427;823.276184;34.442692;925.912781;836.081482;68.732368;1039.983643;980.333862;298.809387;1010.941467;923.557007;466.94693;920.658753999999;779.5890529999992;58.88888999999988
34;787.133423;823.25177;34.430737;925.887695;836.0802;68.676865;1039.912354;980.468994;298.838959;1010.97229;923.5578;466.924683;920.885926999999;779.6597319999992;59.001408999999846
35;787.101624;823.315063;34.586071;925.971069;836.016724;68.847969;1039.997681;980.379517;298.889648;1011.009583;923.661499;466.93222;921.1709619999989;779.7542759999992;58.95325199999984
36;787.061035;823.32782;34.65266;926.00354;836.063904;68.898491;1040.290039;980.25946;298.786011;1011.106628;923.58551;466.950745;921.2210109999988;779.7843049999992;58.987370999999875
37;787.120239;823.259094;34.573536;925.894531;836.08374;68.718773;1040.366821;980.267761;298.701233;1011.108276;923.564148;466.854279;921.2999909999988;779.8106109999993;59.0469109999999
38;787.08313;823.340881;34.485756;925.931885;836.076294;68.704559;1040.362061;980.276733;298.694244;1011.236206;923.566895;466.850739;921.2727689999989;779.8779929999993;59.05676799999991
39;786.962952;823.319275;34.55563;925.90448;836.080017;68.672646;1040.279541;980.328186;298.811646;1011.307617;923.556091;466.834198;921.1735259999988;779.9429949999992;59.00507199999986
40;787.037598;823.360962;34.530468;925.892029;836.082275;68.67041;1040.31189;980.274109;298.81424;1011.311829;923.553101;466.829102;920.9032619999988;779.9208389999992;59.04102099999982
41;787.071533;823.365173;34.492001;925.90863;835.994507;68.688019;1040.372192;980.270081;298.79892;1011.348145;923.569519;466.813965;920.3967919999988;779.7378549999992;59.25571299999984
42;787.100464;823.331421;34.615692;925.895081;836.058411;68.680687;1040.395752;980.27533;298.783752;1011.340881;923.598389;466.790619;920.2536039999987;779.6836559999992;59.12183199999986
43;787.074585;823.332031;34.607071;925.891357;835.999512;68.669647;1040.333618;980.308472;298.800446;1011.462524;923.584106;466.736847;920.1315329999987;779.4463509999993;59.039128999999825
44;787.187744;823.317261;34.456543;925.893555;835.975586;68.66748;1040.309448;980.228882;298.79538;1011.664429;923.601624;466.785095;919.7901019999987;779.3409429999992;58.69058799999981
45;787.02063;823.27356;34.601772;925.95752;835.989685;68.79435;1040.302246;980.292053;298.815674;1011.686707;923.501221;466.708313;919.4186419999988;779.1458739999993;58.51447099999984
46;787.029236;823.352173;34.553917;925.894165;836.069763;68.715202;1040.389893;980.219299;298.840302;1011.80603;923.462463;466.778412;919.1516739999989;778.9391479999992;58.40375299999982
47;787.095581;823.362671;34.531471;925.921936;836.085022;68.733612;1040.427856;980.192261;298.825989;1011.878784;923.595581;466.82193;919.4308489999991;778.1030279999993;57.88898199999982
48;787.244629;823.404724;34.475864;925.96167;836.094604;68.808975;1040.478638;980.208923;298.7948;1011.906067;923.585144;466.790833;918.494569999999;777.9754649999994;57.832371999999786
