Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;825.637817;509.242249;58.905334;907.058594;457.71283;52.2015;951.769531;540.329102;97.049026;1091.694824;699.852051;299.492706;1099.557251;739.376587;148.017822
2;825.229492;509.561798;63.700245;906.688416;458.269257;55.450626;951.815186;541.480652;100.316727;1091.949951;700.189087;299.769531;1100.345337;740.332153;148.774506
3;825.146729;509.890442;68.358635;906.366577;458.951141;59.123638;951.53772;542.417908;103.026871;1091.996704;700.500549;300.201721;1101.15564;741.209473;149.667984
4;824.696899;510.399231;72.986748;905.832458;459.880005;63.035149;951.870728;543.240906;105.922707;1092.181641;700.745361;300.555725;1101.593506;742.094177;150.484604
5;823.938171;511.118225;77.937904;905.061157;461.10083;66.905228;951.82666;544.584534;108.990143;1092.462769;700.975891;300.889526;1101.886475;742.782166;151.505707
6;823.289551;511.911407;83.063812;904.264343;462.818909;70.227974;951.451477;545.834106;112.77494;1093.102539;701.278564;301.613464;1102.43457;743.632935;152.470596
7;822.853394;512.582214;88.24411;903.825562;465.252808;73.568649;950.754089;547.230957;115.978638;1093.557495;701.570923;302.018829;1103.309937;744.662964;153.304153
8;822.450439;513.231323;93.280235;902.671265;466.631134;77.488266;950.492676;548.648254;119.677467;1093.463257;701.874939;302.715118;1104.283936;745.599182;154.21254
9;821.763611;513.952637;98.432739;901.675232;466.741638;82.653229;950.589294;550.243225;122.294411;1093.675415;702.325195;303.178528;1104.845581;746.387878;154.897186
10;820.954468;514.810547;104.077225;900.406433;468.095367;86.579483;950.584229;551.72229;126.286705;1094.502075;702.800232;303.341705;1105.474121;747.344482;155.831879
11;820.136658;516.050537;109.925171;899.252991;470.710022;89.766289;949.736206;553.569275;129.785782;1095.029785;703.264893;303.771637;1106.167603;748.448059;157.274033
12;819.626404;517.28894;115.35096;897.964905;472.864868;93.948181;949.256348;555.151978;133.620956;1095.552856;703.704468;304.275818;1106.888672;749.52002;158.001236
13;819.045532;518.291077;120.820656;895.782104;473.81424;99.223129;948.915527;557.235535;136.568436;1096.238037;704.047058;305.002075;1107.346924;750.41394;158.853912
14;818.293213;519.914856;125.953506;894.655579;476.029419;103.28405;948.445129;558.941589;140.485748;1096.731812;704.315796;305.462036;1107.682983;751.490051;160.219833
15;817.447144;521.712341;131.398956;893.319946;478.623138;106.81118;947.3974;560.832703;143.990067;1097.120239;704.776794;306.021454;1108.06189;752.780518;161.631973
16;816.662415;523.241028;137.591431;891.565491;480.670227;111.427078;947.007324;562.791565;147.411499;1097.588013;705.186218;306.533234;1108.160156;753.697205;162.614685
17;815.625732;525.345154;143.02327;889.626648;482.506256;116.029793;946.127441;564.984253;151.039948;1098.007202;705.59137;307.142242;1108.314819;754.606628;163.831268
18;814.743347;527.262512;148.161682;887.35498;484.75296;121.328987;945.315308;567.204773;154.683914;1098.432617;706.008301;307.948151;1108.945435;755.773315;164.864899
19;813.631653;529.760376;153.086288;885.584656;487.418243;125.873352;944.363281;569.259094;157.983994;1098.89978;706.555908;308.861938;1109.602539;756.751221;166.107376
20;812.555054;532.081177;158.240738;883.160461;489.984344;130.564178;943.437134;571.567322;160.843002;1099.263184;706.989319;309.659241;1109.831665;757.596558;167.073868
21;811.186646;534.629639;163.338425;881.210022;492.647614;135.116318;942.524536;573.722839;164.659027;1099.551758;707.344788;310.295837;1110.032837;758.667725;167.943771
22;810.164917;537.382019;167.555588;879.206238;495.287262;139.014648;941.613403;575.880859;167.457397;1099.783325;707.814392;311.081665;1110.165894;759.832703;168.828735
23;808.923645;540.157227;171.77005;876.842163;497.531921;143.018646;940.419861;578.095703;170.935928;1100.233521;708.26001;312.205994;1110.249634;760.7708435;170.1906965
24;807.686951;542.836914;175.704498;875.209656;500.27417;146.345001;939.111328;580.397949;173.933075;1100.606689;708.76123;312.959167;1110.333374;761.708984;171.552658
25;806.244324;545.745728;179.478546;873.048523;503.103455;150.320969;937.935791;582.587891;176.576187;1100.866577;709.213684;313.396881;1109.626953;763.340088;173.031952
26;804.589844;548.911011;182.955399;870.953308;505.775482;153.815475;937.127563;584.965454;179.446289;1101.133667;709.529114;313.876068;1109.634277;765.558105;174.091614
