Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;926.864258;857.104309;76.440559;865.99408;790.478577;40.181583;793.717163;867.303772;37.26672;1156.711426;877.265381;522.404114;1145.022461;916.722046;341.196655
2;926.936218;856.807739;77.969856;866.597595;788.389587;43.132442;793.450012;866.96051;37.585186;1156.7688803333333;877.3191123333334;522.460246;1145.960693;916.971985;341.030884
3;926.743225;856.499023;79.12178;866.35144;787.377563;45.315056;793.491211;866.316711;38.326118;1156.8263346666668;877.3728436666667;522.516378;1146.694092;917.173462;340.995453
4;926.060852;856.368469;80.661446;867.456604;785.495544;47.882122;793.184814;865.23938;39.696777;1156.883789;877.426575;522.57251;1147.907959;917.343079;341.116638
5;925.179321;855.965332;82.481728;868.615601;783.441895;50.492565;792.609924;864.094849;41.073753;1156.9138185;877.4763794999999;522.5950625;1148.557495;917.552612;340.975281
6;924.876648;855.475037;83.854355;868.949036;781.920044;52.426243;791.785034;862.462219;43.353004;1156.943848;877.526184;522.617615;1148.876221;917.918396;340.995178
7;924.362061;854.662476;84.969627;870.461731;779.423035;54.230114;791.114319;860.776794;45.832317;1156.940552;877.61438;522.76123;1149.220825;918.371338;341.03717
8;923.913635;853.901001;86.035652;871.232849;777.627808;56.519485;790.034668;858.725159;49.162319;1156.867147;877.6489666666666;522.777018;1149.639648;918.833618;341.220795
9;923.022217;852.794739;88.335388;873.033997;774.924805;57.772697;789.064941;856.023376;51.820694;1156.793742;877.6835533333333;522.7928059999999;1150.269775;919.240906;341.120911
10;922.520752;851.391052;89.810654;874.904846;771.970764;59.597733;788.641785;853.338501;53.98143;1156.720337;877.71814;522.808594;1150.726685;919.4729;341.147644
11;922.316223;850.1203;90.494171;876.006287;769.558838;61.682499;787.705688;850.147461;56.751244;1156.6969605;877.8168945;522.8589784999999;1151.122681;919.720398;341.141144
12;921.494873;848.669434;92.167229;877.974182;766.22644;63.05122;786.404663;846.666443;59.56303;1156.673584;877.915649;522.909363;1151.511963;919.805176;341.098267
13;920.890808;846.918274;93.12149;879.449524;763.00769;64.815315;786.235535;842.863403;60.878201;1156.89624;877.867676;523.221497;1151.854736;919.929138;341.151703
14;920.515015;844.946045;94.437515;881.071289;760.336975;65.87355;786.327026;838.881897;62.336803;1157.179443;877.891418;523.457031;1152.169067;920.053284;341.1875
15;919.584778;842.909241;95.915207;883.049927;756.997803;67.26622;785.016357;834.483521;64.918213;1157.412598;877.945251;523.6604;1152.267944;920.233215;341.235535
16;919.140198;840.785461;97.20153;884.915283;753.261841;69.246964;784.707581;829.964844;66.83744;1157.484619;877.956787;523.716431;1152.263184;920.599976;341.269012
17;918.932312;838.150635;98.500908;885.957581;750.23999;70.146988;784.276794;825.431335;67.819656;1157.508667;878.049255;523.810181;1152.154663;920.918518;341.27597
18;918.021484;835.700562;99.835068;887.38739;746.672913;72.118492;784.089111;821.042053;69.878006;1157.514404;878.149963;523.758728;1151.896484;921.262146;341.276123
19;917.27002;833.271301;101.171104;888.665955;743.550659;74.528572;782.55188;816.688538;72.896034;1157.478638;878.179749;523.799805;1151.590454;921.602234;341.253082
20;916.564514;830.461853;102.23304;889.09198;740.433838;76.561874;782.231445;812.088745;75.423401;1157.547729;878.251038;523.773865;1151.261719;921.961914;341.163818
21;915.563904;827.808411;104.03302;889.473267;736.795044;78.442101;781.672302;807.936707;76.83725;1157.674316;878.340515;523.835388;1150.833984;922.238037;341.116241
22;914.755676;825.060425;105.445801;890.077087;733.168945;80.714951;780.902283;803.897034;78.742622;1157.660645;878.441467;523.855469;1150.299438;922.569397;340.858093
23;914.198486;822.015625;106.669029;890.993896;729.702881;82.686974;780.299805;799.421875;81.000572;1157.534424;878.47113;523.743042;1149.682129;922.856995;340.671112
24;913.665039;818.80603;107.784698;891.3349;726.141235;84.39077;779.101196;795.618713;82.80629;1157.109558;878.6317745;523.27771;1149.426514;922.877563;340.581787
25;912.606934;815.597717;109.179474;891.226318;722.845886;86.819313;778.378601;791.460632;84.092484;1156.684692;878.792419;522.812378;1148.78186;922.887695;340.213837
26;911.55603;812.465759;110.297951;891.3974;719.667114;88.741249;777.731445;787.271545;86.154892;1156.452393;878.845886;522.577454;1148.15686;922.941284;339.834106
27;910.430603;809.342773;111.614929;891.363647;716.236816;91.81131;776.847229;783.485413;87.650597;1156.56665;878.923035;522.542664;1147.326782;922.978149;339.299988
28;909.707397;806.396118;112.942184;891.021973;712.574036;93.390533;776.024414;779.309265;89.036354;1156.691162;878.88147;522.678955;1146.550537;922.806885;338.803467
29;908.613098;803.35968;114.040817;891.04425;709.134338;95.096252;775.306885;775.544983;90.40937;1156.5084431666667;878.8913373333334;522.5645446666666;1146.081909;922.506409;338.704956
30;907.829651;800.353333;115.516014;891.107178;705.841431;97.582962;773.610413;771.804382;92.396217;1156.3257243333335;878.9012046666667;522.4501343333333;1145.372559;922.166382;338.376465
31;906.4599;797.294556;116.560768;890.50824;702.214783;99.702026;773.004639;767.875549;93.808563;1156.1430055;878.911072;522.335724;1144.522095;921.809875;337.6138
32;905.275574;794.261963;118.071976;889.797363;698.878967;101.536835;772.183777;764.175781;94.473152;1155.9602866666667;878.9209393333333;522.2213136666667;1143.610352;921.411499;336.701721
33;903.950989;791.321472;118.9655;889.089722;695.666992;103.156815;771.503662;760.469299;95.86187;1155.7775678333335;878.9308066666666;522.1069033333333;1142.899292;920.992432;336.496582
