Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;738.45874;516.054932;29.282217;812.325378;467.248383;29.841797;873.783447;533.580811;65.39698;1025.890015;709.088684;456.821777;;;
2;738.265564;516.029114;29.270866;812.325378;467.248383;29.841797;873.814758;533.57373;65.423607;1026.078979;709.172546;456.693817;;;
3;738.304443;516.034119;29.317513;812.343445;467.268829;29.848072;873.770935;533.58075;65.430252;1026.364258;709.219421;456.538605;;;
4;738.332947;516.038574;29.393677;812.348206;467.275543;29.846746;873.652344;533.601135;65.784996;1026.601196;709.387756;456.384003;;;
5;738.284546;516.050659;29.365089;812.347351;467.274719;29.845913;873.59729;533.583191;65.904251;1026.805664;709.459839;456.534515;;;
6;738.320496;516.040955;29.394678;812.346436;467.273254;29.846527;873.560974;533.746521;66.292519;1026.872192;709.639099;456.549164;;;
7;738.309143;516.052734;29.468988;812.063721;467.535858;30.181547;873.520508;533.799805;66.804329;1026.953491;709.898132;456.516998;;;
8;738.294312;516.053772;29.511652;812.233032;467.380157;29.953251;873.463135;533.798523;67.228951;1027.202148;710.069763;456.39032;;;
9;738.319519;515.819397;29.793659;812.332092;467.370911;29.812811;873.332764;533.862244;67.674377;1027.365234;710.325378;456.228973;;;
10;738.461365;515.5354;30.010685;812.429016;467.465302;29.791536;873.299255;533.858521;68.136856;1027.781006;710.655396;456.190308;;;
11;738.641846;515.323242;30.187384;812.523193;467.64389;29.765976;873.395325;533.936829;68.736984;1027.996338;710.995422;456.134247;;;
12;738.975708;515.157532;30.469671;812.67865;467.926575;29.823658;873.313354;534.044434;69.457809;1028.815552;711.532898;455.917572;;;
13;739.365662;514.882751;30.560007;812.877197;468.136383;29.826847;873.391907;534.221313;70.061684;1029.69873;712.152466;455.760773;;;
14;739.848022;514.699097;30.625559;813.300537;468.425232;29.796558;873.500977;534.589172;71.212448;1030.756348;712.504822;455.441467;;;
15;740.615295;514.396545;31.094217;813.782959;468.674438;29.534494;873.5672;534.994507;72.332588;1031.119751;712.85321;455.419312;;;
16;741.17688;514.454712;31.440523;814.27124;469.133667;29.755632;873.951294;535.120728;73.285545;1031.29541;713.457825;455.739502;;;
17;741.81073;514.581299;31.875381;815.171082;469.634827;30.055174;874.573608;535.265503;74.211868;1031.978149;714.03302;455.726837;;;
18;742.584656;514.568237;32.056595;815.696167;470.078766;30.025614;874.941467;535.565125;75.906349;1033.142212;714.830933;455.31192;;;
19;743.52063;514.741272;32.267445;816.299988;470.449554;29.864836;875.523071;535.746155;77.514473;1034.238281;715.4729;454.93454;;;
20;744.491699;514.826294;32.95752;817.239197;470.886566;29.752258;876.369629;535.977661;78.533722;1034.666992;716.432617;454.868286;;;
21;745.404053;514.912476;34.656113;818.521484;471.234619;29.74942;876.953674;536.33374;79.555939;1036.011719;717.239441;455.011597;;;
22;746.577454;515.074097;35.950333;819.872803;471.697998;29.91445;877.941101;536.69281;81.514137;1037.230835;718.371887;454.723907;;;
23;747.903076;515.366699;36.495831;821.273804;472.234894;30.250196;878.906372;537.463135;82.980034;1038.190918;719.390015;454.948792;;;
