Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;903.511719;449.259949;39.343235;930.439819;541.450195;79.136993;808.130615;496.112244;33.995453;1123.498657;720.225647;355.463898;1051.748291;709.343689;220.302505
2;903.477112;449.926025;41.227154;930.041077;542.048279;80.730415;808.357422;496.244263;34.341591;1125.090942;719.352234;355.177582;1053.22229;710.334106;220.493942
3;903.585327;450.811035;43.077763;929.708862;543.219299;82.083931;808.943115;496.292358;35.060905;1125.681519;719.601379;354.884369;1054.37207;711.406128;220.587433
4;903.83075;451.782623;45.115402;929.622131;544.746643;83.556015;809.525146;496.531067;37.94326;1126.157227;719.895935;355.03479;1054.831421;712.738831;220.935455
5;903.989502;452.81189;47.768368;929.824707;546.040771;85.480499;809.756348;497.104675;39.993576;1126.884399;720.599854;355.137115;1055.915771;714.127747;221.337738
6;903.676453;453.199097;51.365814;929.845886;547.397644;87.741058;810.410461;497.839081;43.170452;1127.301392;720.907959;355.093933;1057.758911;715.348022;221.632736
7;903.513245;454.04184;55.163548;930.383728;548.990417;89.892342;810.657898;498.859222;46.550743;1127.68396;721.205017;355.545868;1059.247803;716.656006;221.750534
8;904.359619;455.237762;58.559334;930.872925;550.480957;92.157021;811.129028;499.793365;50.199333;1129.02417;721.42804;355.623779;1060.495361;718.298218;222.008469
9;905.369202;456.123444;61.525471;931.898682;552.215271;94.198326;812.083069;500.598816;54.015793;1130.602051;722.462708;355.634125;1062.27478;719.47821;222.587326
10;906.12561;457.190155;64.624664;932.948242;553.492126;96.932671;813.317871;501.824615;57.228142;1131.503052;723.20343;355.798706;1064.647827;720.927856;222.416824
11;906.960388;458.803558;67.608887;934.276123;555.278259;99.473923;814.723083;503.090057;61.251957;1132.554443;724.294617;355.99649;1066.303711;722.95459;222.498581
12;908.492432;460.635468;70.737465;935.608948;556.826843;102.277008;816.427368;503.764465;64.898911;1133.687622;725.222717;355.983093;1067.664673;725.12323;223.233444
13;910.503601;461.512207;75.355835;937.122803;558.304993;104.290916;818.353394;504.694366;68.327522;1135.055664;726.113708;356.290192;1069.665894;726.719788;223.684906
14;911.501038;461.900177;79.884186;939.081909;560.003357;107.18856;820.892273;505.573425;72.002365;1136.627075;727.147644;356.463989;1071.524902;728.649658;224.325851
15;912.769958;463.297394;83.518234;941.469055;561.575256;109.906143;823.552429;506.181458;75.752579;1138.957397;728.1521;356.590881;1075.079102;730.094177;224.304428
16;914.871765;464.533783;87.410957;943.28595;563.553833;112.636559;826.916809;506.744385;79.134834;1140.765625;728.862732;357.177094;1077.617432;732.254822;223.60704
17;916.650024;466.236633;90.864723;944.712708;566.055054;115.291298;829.529358;507.217377;82.758881;1142.249146;730.151001;357.488312;1079.810547;734.432312;224.185379
18;918.946045;467.822815;94.009323;946.395508;567.833008;117.574738;833.0672;507.651733;86.675468;1144.119385;731.439575;357.445404;1081.495117;736.896484;225.316696
19;920.712036;470.208466;97.302818;949.129883;569.661194;120.284744;837.009338;508.11496;90.605392;1146.053955;732.409424;357.979431;1083.993286;738.652466;225.624756
20;922.146851;471.991699;100.979706;951.915344;571.627136;122.787704;840.528442;508.410461;94.291969;1148.402222;733.233154;358.456573;1088.330078;740.320496;224.887344
21;924.615112;473.864746;104.116554;954.308594;573.867065;124.640274;844.467651;509.066284;97.903282;1150.454224;734.678589;358.66333;1090.631592;742.783325;225.847488
22;926.937317;475.56134;107.258209;956.600647;576.154236;127.233025;848.793884;509.86264;101.35981;1151.877808;735.896057;359.088409;1092.265259;745.22699;226.41423
23;929.226624;477.618744;109.756653;959.44104;578.050354;129.754913;853.163269;510.549744;105.304436;1154.431885;736.648254;359.285919;1095.702271;747.061768;227.09964
24;931.178467;479.733185;112.83683;962.223389;580.431091;131.271255;857.120544;511.646179;109.093765;1156.946411;737.561096;359.920746;1098.477295;749.11261;227.346954
25;932.855286;482.453888;116.273041;965.321472;582.686401;132.994003;861.384888;513.451416;111.614738;1158.649048;738.816895;360.377594;1101.069214;751.319397;227.928406
26;934.500488;485.256256;118.802002;967.365601;584.928467;135.403931;865.471436;515.428833;114.729561;1160.677368;739.650635;360.694977;1103.926758;753.072388;228.096512
27;936.407715;487.717621;121.328773;969.430481;587.700195;137.05188;868.822693;517.58783;118.136215;1163.141846;740.597839;361.102509;1107.111816;755.010498;228.472443
28;937.499939;489.817139;124.778;972.914368;589.63147;139.139343;872.077942;520.281616;121.552307;1164.517334;741.932068;361.357391;1109.505127;756.985474;228.64447
29;938.865784;492.743286;127.747772;976.530945;591.753052;140.10733;874.549561;523.541565;124.7397;1166.610718;742.741333;361.595978;1112.736206;758.677368;229.304596
30;940.479553;495.775391;130.506592;979.227783;594.291138;141.46524;876.829346;527.38031;127.185463;1168.623169;743.550537;361.99588;1115.699951;760.096924;229.594528
31;941.910217;498.215576;133.36412;979.689026;598.131531;142.720261;878.690308;531.452515;130.173386;1170.688843;744.633057;362.494324;1117.55481;762.711792;229.959534
32;942.679932;501.131683;136.304977;980.962952;601.097534;144.787033;880.057129;535.826477;132.383133;1172.675415;745.379089;363.214294;1121.056763;764.0401;230.097061
33;943.096558;504.334534;138.526917;983.273987;603.584656;146.115311;881.494507;540.76532;135.537399;1174.845093;746.143372;363.338837;1123.654053;765.527832;230.600906
34;943.266418;508.6203;141.321625;985.385071;606.599915;147.20784;882.327942;545.554932;138.745865;1176.579834;746.996521;364.037048;1125.630493;767.663696;230.864578
35;943.860596;511.985657;143.938339;987.331177;609.379822;148.653809;882.845947;550.670593;141.353973;1178.47168;747.791016;364.549927;1129.0177;769.105591;231.009491
36;944.730774;515.293335;146.211411;988.804932;612.236389;149.582062;883.247925;556.239136;143.66983;1180.05542;748.720215;364.372955;1131.490967;770.622498;231.327835
37;944.312317;519.640869;148.73082;990.332947;615.051575;151.190353;883.706238;562.140991;145.040924;1181.662109;749.372681;364.871979;1133.923828;772.15033;231.649094
38;944.127441;523.757385;151.723724;990.820984;618.913879;151.190857;884.295044;568.072205;147.749725;1183.753784;749.749695;365.629852;1136.557007;773.742432;231.760162
39;943.181702;528.498779;154.056381;991.608398;622.76532;151.885101;883.818542;574.62439;149.070099;1184.897339;750.660156;365.467987;1139.361328;775.039429;231.780655
40;942.725647;532.424011;156.019409;992.062195;626.46582;152.690247;883.651062;580.983887;150.933609;1186.385742;751.18811;365.497986;1142.323242;776.422791;232.149429
41;941.708557;536.828735;158.572815;993.389282;629.048462;153.902359;883.537048;587.480774;151.443878;1187.865112;751.895813;366.044281;1144.929199;777.735107;232.495132
42;940.281311;542.13446;160.53804;993.934448;632.368774;155.066254;883.390869;594.370422;153.166992;1189.405762;752.268372;366.393097;1147.450073;778.529236;232.997238
43;939.33136;546.250916;162.571579;994.427246;636.419067;155.508102;882.427185;601.395874;154.241455;1190.891357;752.528259;366.458313;1148.739868;780.404419;232.827606
44;938.638794;550.547791;163.91626;994.222717;640.108337;155.759918;881.925598;608.098083;155.510101;1192.089355;752.894531;366.314697;1151.270386;781.674255;233.458298
45;937.074829;555.750732;165.027954;994.11853;644.040466;156.03067;881.410217;614.886902;155.720047;1193.447632;753.190369;366.914673;1153.719238;782.401978;233.754303
46;935.333984;560.914246;166.528946;994.746887;647.077332;156.346115;881.179932;621.84906;156.742859;1194.234375;753.49353;367.278473;1155.64563;783.070313;233.971085
47;933.84906;565.548462;168.140732;994.240112;650.209106;156.872299;880.004395;628.818604;156.843765;1195.157471;753.698181;367.207153;1157.211426;784.538757;234.00322
48;932.799438;570.760437;168.514252;993.811768;654.231812;157.448395;879.112366;635.444641;157.025101;1196.018555;753.933167;367.05423;1158.689331;785.653687;234.278763
49;931.104248;574.64917;169.121933;993.208618;657.93689;157.562088;878.176514;642.051941;157.32341;1196.890503;754.276794;366.783478;1161.238647;785.94873;234.272766
50;929.189148;579.727539;169.974167;992.689209;661.178406;156.887039;877.332458;648.772034;157.152969;1197.482544;754.571716;366.540802;1163.387329;786.436218;233.92485
51;926.963806;584.574707;170.59491;991.629883;664.408936;157.403549;875.979919;655.425415;157.163025;1197.779907;754.832214;366.494904;1164.584595;786.950195;234.03862
52;925.251404;588.809875;170.540527;991.469788;667.931885;157.800751;874.349854;661.392578;157.059982;1198.056396;755.046204;366.483215;1165.402222;787.845703;234.443024
53;924.34137;592.472961;170.908951;989.588562;671.532166;157.284607;873.366028;668.024536;156.552704;1198.514282;755.230225;366.286621;1166.168091;788.783691;234.649078
