Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;808.712708;468.708984;28.668516;938.882629;511.037659;64.644699;1077.021973;751.868835;461.749084;890.999878;432.952759;30.306519;1006.618469;690.788452;260.803131
2;808.65564;468.723663;28.700914;938.834717;510.962982;64.677292;1077.29834;751.896606;461.579712;890.993225;432.985352;30.282927;1006.949097;690.594116;260.607697
3;808.624512;468.634308;28.668055;938.829712;511.047211;64.713631;1077.310913;751.929199;461.535492;890.912842;432.94931;30.365997;1006.692078;690.787231;260.68866
4;808.61261;468.734131;28.690161;938.759827;511.070068;64.749405;1077.515137;751.977722;461.52536;890.976196;432.939453;30.333843;1006.468445;690.975098;260.874725
5;808.862671;468.800507;28.651142;938.651917;511.167603;64.812225;1077.378784;752.421936;461.752625;891.017029;432.945099;30.337374;1006.960754;690.976196;260.763977
6;808.747131;468.756866;28.716417;938.600159;511.201721;64.835861;1077.663696;752.143433;461.599274;891.028381;432.941589;30.348003;1007.117004;691.265442;260.692291
7;808.639282;468.749054;28.783974;938.565857;511.105621;65.130974;1078.045166;752.069641;461.454102;890.944641;432.993378;30.380026;1007.292847;691.563354;260.618805
8;808.629517;468.867889;28.868963;938.475952;511.207306;65.599655;1078.414185;752.057678;461.488739;890.922852;433.006714;30.387674;1007.703003;691.872864;260.304016
9;808.611145;468.931824;28.902164;938.31958;511.345306;65.873314;1079.066772;751.560852;461.141479;890.975647;433.031677;30.416634;1008.177368;692.271912;260.120422
10;808.597351;469.057831;28.941412;938.205017;511.552612;65.990089;1079.468994;751.450439;461.240997;890.883179;433.07663;30.38158;1008.596436;692.498474;260.009369
11;808.647522;469.155792;28.974987;938.055542;511.886658;66.490036;1080.186035;751.561951;460.975372;890.913696;433.183105;30.358192;1008.904907;692.877686;259.859222
12;808.685486;469.198242;29.040119;937.825928;512.23999;67.15921;1080.621826;751.777344;460.773193;890.928284;433.196228;30.439072;1009.27478;693.514587;259.650513
